      No     Day     Mon    Year  INConcob0000001  INConcsi0000001  INConcob0000002  INConcsi0000002  INConcob0000003  INConcsi0000003
      53      22       2    1997    -9999.0000000        3.7618225    -9999.0000000        2.9354401    -9999.0000000        2.9007504
      54      23       2    1997    -9999.0000000        3.6641991    -9999.0000000        2.9175810    -9999.0000000        2.9383482
      55      24       2    1997    -9999.0000000        3.6638430    -9999.0000000        2.9484740    -9999.0000000        2.9352146
      56      25       2    1997    -9999.0000000        3.8391438    -9999.0000000        3.0201430    -9999.0000000        2.8861295
      57      26       2    1997    -9999.0000000        3.9860611    -9999.0000000        2.8988317    -9999.0000000        2.7375267
      58      27       2    1997        3.5600000        3.8603218    -9999.0000000        2.7954884    -9999.0000000        2.6834876
      59      28       2    1997    -9999.0000000        3.6147248    -9999.0000000        2.7729535    -9999.0000000        2.7312171
      60       1       3    1997    -9999.0000000        3.4678327    -9999.0000000        2.7799523    -9999.0000000        2.8038362
      61       2       3    1997    -9999.0000000        3.4308893    -9999.0000000        2.8220416    -9999.0000000        2.9101094
      62       3       3    1997    -9999.0000000        3.4824918    -9999.0000000        2.8760685    -9999.0000000        3.0129505
      63       4       3    1997    -9999.0000000        3.5887692    -9999.0000000        2.9091673    -9999.0000000        3.0442497
      64       5       3    1997    -9999.0000000        3.7350425    -9999.0000000        2.9175334    -9999.0000000        3.0302994
      65       6       3    1997    -9999.0000000        3.8905041    -9999.0000000        2.9057210    -9999.0000000        3.0036423
      66       7       3    1997    -9999.0000000        4.0291125    -9999.0000000        2.8799244    -9999.0000000        2.9692932
      67       8       3    1997    -9999.0000000        4.1350922    -9999.0000000        2.8431384    -9999.0000000        2.9276219
      68       9       3    1997    -9999.0000000        4.2093037    -9999.0000000        2.8039393    -9999.0000000        2.8796158
      69      10       3    1997    -9999.0000000        4.2609145    -9999.0000000        2.7525941    -9999.0000000        2.8250478
      70      11       3    1997    -9999.0000000        4.2994203    -9999.0000000        2.6987494    -9999.0000000        2.7662162
      71      12       3    1997    -9999.0000000        4.3306556    -9999.0000000        2.6401818    -9999.0000000        2.7022303
      72      13       3    1997    -9999.0000000        4.3564145    -9999.0000000        2.5761990    -9999.0000000        2.6339051
      73      14       3    1997    -9999.0000000        4.3963658    -9999.0000000        2.5421554    -9999.0000000        2.5914602
      74      15       3    1997    -9999.0000000        4.5311502    -9999.0000000        2.6166058    -9999.0000000        2.6052367
      75      16       3    1997    -9999.0000000        5.2124613    -9999.0000000        3.0833704    -9999.0000000        2.7982795
      76      17       3    1997        4.0500000        5.4946002        2.4000000        3.0231332        2.3600000        2.7228735
      77      18       3    1997    -9999.0000000        5.2884121    -9999.0000000        2.9270117    -9999.0000000        2.7233891
      78      19       3    1997    -9999.0000000        5.3384308    -9999.0000000        3.1614887    -9999.0000000        2.7982068
      79      20       3    1997    -9999.0000000        5.4215198    -9999.0000000        3.0190605    -9999.0000000        2.7532066
      80      21       3    1997    -9999.0000000        5.4310503    -9999.0000000        3.2238739    -9999.0000000        2.8899373
      81      22       3    1997    -9999.0000000        5.4896906    -9999.0000000        3.1172892    -9999.0000000        2.8546931
      82      23       3    1997    -9999.0000000        5.6031912    -9999.0000000        3.3287333    -9999.0000000        2.8304550
      83      24       3    1997    -9999.0000000        5.8165123    -9999.0000000        3.2245775    -9999.0000000        2.9076480
      84      25       3    1997        3.1900000        5.7602240    -9999.0000000        3.1190251    -9999.0000000        2.9540515
      85      26       3    1997    -9999.0000000        5.6750544    -9999.0000000        3.0476411    -9999.0000000        2.7268986
      86      27       3    1997    -9999.0000000        5.5391429    -9999.0000000        2.9908338    -9999.0000000        2.6975615
      87      28       3    1997    -9999.0000000        5.6299604    -9999.0000000        3.0549476    -9999.0000000        2.6974802
      88      29       3    1997    -9999.0000000        5.6840959    -9999.0000000        3.0064145    -9999.0000000        2.6627129
      89      30       3    1997    -9999.0000000        5.5379900    -9999.0000000        2.9292248    -9999.0000000        2.6804313
      90      31       3    1997    -9999.0000000        5.3560065    -9999.0000000        2.8758096    -9999.0000000        2.6746016
      91       1       4    1997    -9999.0000000        5.2111034    -9999.0000000        2.8324281    -9999.0000000        2.6476624
      92       2       4    1997    -9999.0000000        5.1180898    -9999.0000000        2.7881199    -9999.0000000        2.6099137
      93       3       4    1997    -9999.0000000        5.1642246    -9999.0000000        2.8239275    -9999.0000000        2.6111405
      94       4       4    1997    -9999.0000000        5.2645219    -9999.0000000        2.8034331    -9999.0000000        2.5680429
      95       5       4    1997    -9999.0000000        5.4901589    -9999.0000000        2.8720150    -9999.0000000        2.5947578
      96       6       4    1997    -9999.0000000        5.5707688    -9999.0000000        2.7676440    -9999.0000000        2.5208759
      97       7       4    1997    -9999.0000000        5.4052673    -9999.0000000        2.7041515    -9999.0000000        2.5012654
      98       8       4    1997    -9999.0000000        5.1921855    -9999.0000000        2.6578673    -9999.0000000        2.4696726
      99       9       4    1997        3.5800000        5.0255559        1.8800000        2.6167865        1.8200000        2.4301954
     100      10       4    1997    -9999.0000000        4.9271578    -9999.0000000        2.5727754    -9999.0000000        2.3842905
     101      11       4    1997    -9999.0000000        4.9004025    -9999.0000000        2.5474331    -9999.0000000        2.3970959
     102      12       4    1997    -9999.0000000        4.8980921    -9999.0000000        2.5125441    -9999.0000000        2.3456867
     103      13       4    1997    -9999.0000000        4.8878304    -9999.0000000        2.4799601    -9999.0000000        2.3019160
     104      14       4    1997    -9999.0000000        4.8766443    -9999.0000000        2.4465124    -9999.0000000        2.2783741
     105      15       4    1997    -9999.0000000        4.8666090    -9999.0000000        2.4106671    -9999.0000000        2.2260546
     106      16       4    1997    -9999.0000000        4.8654786    -9999.0000000        2.3759830    -9999.0000000        2.1727468
     107      17       4    1997    -9999.0000000        4.8647623    -9999.0000000        2.3388323    -9999.0000000        2.1146030
     108      18       4    1997    -9999.0000000        4.9015303    -9999.0000000        2.3171072    -9999.0000000        2.1005063
     109      19       4    1997    -9999.0000000        4.9509688    -9999.0000000        2.3149376    -9999.0000000        2.0649737
     110      20       4    1997    -9999.0000000        4.9822009    -9999.0000000        2.2751790    -9999.0000000        2.0087041
     111      21       4    1997        4.2600000        4.9550058    -9999.0000000        2.2427663    -9999.0000000        1.9558269
     112      22       4    1997    -9999.0000000        4.9317823    -9999.0000000        2.2095684    -9999.0000000        1.8983144
     113      23       4    1997    -9999.0000000        4.9266715    -9999.0000000        2.1756134    -9999.0000000        1.8395805
     114      24       4    1997    -9999.0000000        4.9404796    -9999.0000000        2.1319836    -9999.0000000        1.7761069
     115      25       4    1997    -9999.0000000        5.0080644    -9999.0000000        2.1631531    -9999.0000000        1.8643527
     116      26       4    1997    -9999.0000000        5.0089808    -9999.0000000        2.1089167    -9999.0000000        1.8070428
     117      27       4    1997    -9999.0000000        4.9221515    -9999.0000000        2.0835928    -9999.0000000        1.7968687
     118      28       4    1997    -9999.0000000        4.8117727    -9999.0000000        2.0536243    -9999.0000000        1.8258431
     119      29       4    1997    -9999.0000000        4.7622739    -9999.0000000        2.0353442    -9999.0000000        1.8012167
     120      30       4    1997    -9999.0000000        4.6802762    -9999.0000000        1.9938735    -9999.0000000        1.7592005
     121       1       5    1997    -9999.0000000        4.5917549    -9999.0000000        1.9572231    -9999.0000000        1.7242178
     122       2       5    1997    -9999.0000000        4.4659634    -9999.0000000        1.9128039    -9999.0000000        1.6795974
     123       3       5    1997    -9999.0000000        4.3932959    -9999.0000000        1.8606658    -9999.0000000        1.6274319
     124       4       5    1997    -9999.0000000        4.3643002    -9999.0000000        1.7985354    -9999.0000000        1.5711596
     125       5       5    1997    -9999.0000000        4.4286825    -9999.0000000        1.7987486    -9999.0000000        1.6726647
     126       6       5    1997    -9999.0000000        4.5654354    -9999.0000000        1.9114632    -9999.0000000        1.7473476
     127       7       5    1997    -9999.0000000        4.6799375    -9999.0000000        1.8379722    -9999.0000000        1.6943226
     128       8       5    1997    -9999.0000000        4.3924115    -9999.0000000        1.7989549    -9999.0000000        1.6711649
     129       9       5    1997    -9999.0000000        4.1626502    -9999.0000000        1.7679515    -9999.0000000        1.6523476
     130      10       5    1997    -9999.0000000        4.0081192    -9999.0000000        1.7363134    -9999.0000000        1.6294567
     131      11       5    1997    -9999.0000000        3.9289808    -9999.0000000        1.6912772    -9999.0000000        1.5866453
     132      12       5    1997    -9999.0000000        3.9051553    -9999.0000000        1.6433760    -9999.0000000        1.5454610
     133      13       5    1997        3.4300000        3.8961178    -9999.0000000        1.5859253    -9999.0000000        1.4965263
     134      14       5    1997    -9999.0000000        3.9390682    -9999.0000000        1.5520789    -9999.0000000        1.4492724
     135      15       5    1997    -9999.0000000        3.9781642    -9999.0000000        1.4691712    -9999.0000000        1.3916955
     136      16       5    1997    -9999.0000000        3.9721856    -9999.0000000        1.3789999    -9999.0000000        1.3282990
     137      17       5    1997    -9999.0000000        3.9593889    -9999.0000000        1.2719642    -9999.0000000        1.2594465
     138      18       5    1997    -9999.0000000        3.9743653    -9999.0000000        1.2439232    -9999.0000000        1.3440530
